2015-03-18 19:03:27 upgrade base-passwd:armhf 3.5.26 3.5.26
2015-03-18 19:03:27 status half-configured base-passwd:armhf 3.5.26
2015-03-18 19:03:27 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:27 status half-installed base-passwd:armhf 3.5.26
2015-03-18 19:03:27 status half-installed base-passwd:armhf 3.5.26
2015-03-18 19:03:27 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:27 status unpacked base-passwd:armhf 3.5.26
2015-03-18 19:03:27 install bash:armhf <none> 4.2+dfsg-0.1+deb7u3
2015-03-18 19:03:27 status half-installed bash:armhf 4.2+dfsg-0.1+deb7u3
2015-03-18 19:03:28 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2015-03-18 19:03:28 status unpacked bash:armhf 4.2+dfsg-0.1+deb7u3
2015-03-18 19:03:28 install libbz2-1.0:armhf <none> 1.0.6-4
2015-03-18 19:03:28 status half-installed libbz2-1.0:armhf 1.0.6-4
2015-03-18 19:03:28 status unpacked libbz2-1.0:armhf 1.0.6-4
2015-03-18 19:03:28 status unpacked libbz2-1.0:armhf 1.0.6-4
2015-03-18 19:03:28 install coreutils:armhf <none> 8.13-3.5
2015-03-18 19:03:28 status half-installed coreutils:armhf 8.13-3.5
2015-03-18 19:03:29 status unpacked coreutils:armhf 8.13-3.5
2015-03-18 19:03:29 status unpacked coreutils:armhf 8.13-3.5
2015-03-18 19:03:29 install dash:armhf <none> 0.5.7-3
2015-03-18 19:03:29 status half-installed dash:armhf 0.5.7-3
2015-03-18 19:03:30 status unpacked dash:armhf 0.5.7-3
2015-03-18 19:03:30 status unpacked dash:armhf 0.5.7-3
2015-03-18 19:03:30 install libdb5.1:armhf <none> 5.1.29-5
2015-03-18 19:03:30 status half-installed libdb5.1:armhf 5.1.29-5
2015-03-18 19:03:30 status unpacked libdb5.1:armhf 5.1.29-5
2015-03-18 19:03:30 status unpacked libdb5.1:armhf 5.1.29-5
2015-03-18 19:03:31 upgrade debconf:all 1.5.49 1.5.49
2015-03-18 19:03:31 status half-configured debconf:all 1.5.49
2015-03-18 19:03:31 status unpacked debconf:all 1.5.49
2015-03-18 19:03:31 status half-installed debconf:all 1.5.49
2015-03-18 19:03:31 status half-installed debconf:all 1.5.49
2015-03-18 19:03:31 status unpacked debconf:all 1.5.49
2015-03-18 19:03:31 status unpacked debconf:all 1.5.49
2015-03-18 19:03:32 install debconf-i18n:all <none> 1.5.49
2015-03-18 19:03:32 status half-installed debconf-i18n:all 1.5.49
2015-03-18 19:03:32 status unpacked debconf-i18n:all 1.5.49
2015-03-18 19:03:32 status unpacked debconf-i18n:all 1.5.49
2015-03-18 19:03:32 install debianutils:armhf <none> 4.3.2
2015-03-18 19:03:32 status half-installed debianutils:armhf 4.3.2
2015-03-18 19:03:32 status unpacked debianutils:armhf 4.3.2
2015-03-18 19:03:32 status unpacked debianutils:armhf 4.3.2
2015-03-18 19:03:32 install diffutils:armhf <none> 1:3.2-6
2015-03-18 19:03:32 status half-installed diffutils:armhf 1:3.2-6
2015-03-18 19:03:32 status unpacked diffutils:armhf 1:3.2-6
2015-03-18 19:03:32 status unpacked diffutils:armhf 1:3.2-6
2015-03-18 19:03:32 upgrade dpkg:armhf 1.16.15 1.16.15
2015-03-18 19:03:32 status half-configured dpkg:armhf 1.16.15
2015-03-18 19:03:33 status unpacked dpkg:armhf 1.16.15
2015-03-18 19:03:33 status half-installed dpkg:armhf 1.16.15
2015-03-18 19:03:33 status half-installed dpkg:armhf 1.16.15
2015-03-18 19:03:33 status unpacked dpkg:armhf 1.16.15
2015-03-18 19:03:33 status unpacked dpkg:armhf 1.16.15
2015-03-18 19:03:33 install e2fslibs:armhf <none> 1.42.5-1.1
2015-03-18 19:03:33 status half-installed e2fslibs:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked e2fslibs:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked e2fslibs:armhf 1.42.5-1.1
2015-03-18 19:03:34 install e2fsprogs:armhf <none> 1.42.5-1.1
2015-03-18 19:03:34 status half-installed e2fsprogs:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked e2fsprogs:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked e2fsprogs:armhf 1.42.5-1.1
2015-03-18 19:03:34 install libcomerr2:armhf <none> 1.42.5-1.1
2015-03-18 19:03:34 status half-installed libcomerr2:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked libcomerr2:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked libcomerr2:armhf 1.42.5-1.1
2015-03-18 19:03:34 install libss2:armhf <none> 1.42.5-1.1
2015-03-18 19:03:34 status half-installed libss2:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked libss2:armhf 1.42.5-1.1
2015-03-18 19:03:34 status unpacked libss2:armhf 1.42.5-1.1
2015-03-18 19:03:35 install libc-bin:armhf <none> 2.13-38+deb7u6
2015-03-18 19:03:35 status half-installed libc-bin:armhf 2.13-38+deb7u6
2015-03-18 19:03:35 status unpacked libc-bin:armhf 2.13-38+deb7u6
2015-03-18 19:03:35 status unpacked libc-bin:armhf 2.13-38+deb7u6
2015-03-18 19:03:35 upgrade libc6:armhf 2.13-38+deb7u6 2.13-38+deb7u6
2015-03-18 19:03:35 status half-configured libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:35 status unpacked libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:35 status half-installed libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 status half-installed libc6:armhf 2.13-38+deb7u6
2015-03-18 19:03:39 status unpacked libc6:armhf 2.13-38+deb7u6
